"timestamp","manufacturer_name","racket_name","swing_type","impact_position","ball_speed[km/h]","ball_spin","swing_speed[km/h]","tag_id","video_filename"
"2016-10-15 18:45:01","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","16","61","4","76","",""
"2016-10-15 18:45:27","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","22","47","3","60","",""
"2016-10-15 18:45:39","Wilson","BLADE 98 18x20","SERVE","13","58","3","67","",""
"2016-10-15 18:45:44","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","20","80","3","84","",""
"2016-10-15 18:46:03","Wilson","BLADE 98 18x20","SMASH","12","58","1","63","",""
"2016-10-15 18:46:11","Wilson","BLADE 98 18x20","SERVE","13","79","2","83","",""
"2016-10-15 18:46:27","Wilson","BLADE 98 18x20","SERVE","7","59","3","65","",""
"2016-10-15 18:46:38","Wilson","BLADE 98 18x20","SERVE","14","82","2","78","",""
"2016-10-15 18:47:02","Wilson","BLADE 98 18x20","SMASH","19","71","1","69","",""
"2016-10-15 18:47:39","Wilson","BLADE 98 18x20","SERVE","17","61","3","68","",""
"2016-10-15 18:48:18","Wilson","BLADE 98 18x20","SERVE","12","62","3","63","",""
"2016-10-15 18:48:36","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","7","51","2","60","",""
"2016-10-15 18:48:50","Wilson","BLADE 98 18x20","SERVE","12","75","2","69","",""
"2016-10-15 18:48:54","Wilson","BLADE 98 18x20","SERVE","8","78","3","80","",""
"2016-10-15 18:48:59","Wilson","BLADE 98 18x20","SERVE","19","85","3","85","",""
"2016-10-15 18:49:37","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","11","72","3","75","",""
"2016-10-15 18:50:00","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","12","76","3","85","",""
"2016-10-15 18:50:18","Wilson","BLADE 98 18x20","SERVE","12","67","3","78","",""
"2016-10-15 18:50:22","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","77","2","73","",""
"2016-10-15 18:50:50","Wilson","BLADE 98 18x20","BACKHAND_SLICE","20","49","-7","58","",""
"2016-10-15 18:51:15","Wilson","BLADE 98 18x20","SERVE","7","53","2","61","",""
"2016-10-15 18:51:21","Wilson","BLADE 98 18x20","SERVE","13","64","2","59","",""
"2016-10-15 18:51:29","Wilson","BLADE 98 18x20","SERVE","13","67","3","76","",""
"2016-10-15 18:52:44","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","5","92","4","97","",""
"2016-10-15 18:52:47","Wilson","BLADE 98 18x20","BACKHAND_SLICE","13","51","-3","45","",""
"2016-10-15 18:53:18","Wilson","BLADE 98 18x20","SERVE","14","65","3","70","",""
"2016-10-15 18:53:22","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","18","68","4","77","",""
"2016-10-15 18:53:26","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","81","4","79","",""
"2016-10-15 18:53:42","Wilson","BLADE 98 18x20","SERVE","7","67","3","68","",""
"2016-10-15 18:53:46","Wilson","BLADE 98 18x20","SMASH","23","89","0","76","",""
"2016-10-15 18:53:50","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","5","63","3","81","",""
"2016-10-15 18:54:04","Wilson","BLADE 98 18x20","FOREHAND_SLICE","18","65","-4","65","",""
"2016-10-15 18:54:05","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","14","30","1","88","",""
"2016-11-05 12:38:17","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","51","3","62","",""
